5,4,3,2,1,29
5,4,3,1,2,67
5,4,2,3,1,37
5,4,2,1,3,24
5,4,1,3,2,43
5,4,1,2,3,28
5,3,4,2,1,57
5,3,4,1,2,49
5,3,2,4,1,22
5,3,2,1,4,22
5,3,1,4,2,34
5,3,1,2,4,26
5,2,4,3,1,54
5,2,4,1,3,44
5,2,3,4,1,26
5,2,3,1,4,24
5,2,1,4,3,35
5,2,1,3,4,50
5,1,4,3,2,50
5,1,4,2,3,46
5,1,3,4,2,25
5,1,3,2,4,19
5,1,2,4,3,11
5,1,2,3,4,29
4,5,3,2,1,31
4,5,3,1,2,54
4,5,2,3,1,34
4,5,2,1,3,24
4,5,1,3,2,38
4,5,1,2,3,30
4,3,5,2,1,91
4,3,5,1,2,84
4,3,2,5,1,30
4,3,2,1,5,35
4,3,1,5,2,38
4,3,1,2,5,35
4,2,5,3,1,58
4,2,5,1,3,66
4,2,3,5,1,24
4,2,3,1,5,51
4,2,1,5,3,52
4,2,1,3,5,40
4,1,5,3,2,50
4,1,5,2,3,45
4,1,3,5,2,31
4,1,3,2,5,23
4,1,2,5,3,22
4,1,2,3,5,16
3,5,4,2,1,71
3,5,4,1,2,61
3,5,2,4,1,41
3,5,2,1,4,27
3,5,1,4,2,45
3,5,1,2,4,36
3,4,5,2,1,107
3,4,5,1,2,133
3,4,2,5,1,62
3,4,2,1,5,28
3,4,1,5,2,87
3,4,1,2,5,35
3,2,5,4,1,41
3,2,5,1,4,64
3,2,4,5,1,34
3,2,4,1,5,75
3,2,1,5,4,82
3,2,1,4,5,74
3,1,5,4,2,30
3,1,5,2,4,34
3,1,4,5,2,40
3,1,4,2,5,42
3,1,2,5,4,30
3,1,2,4,5,34
2,5,4,3,1,35
2,5,4,1,3,34
2,5,3,4,1,40
2,5,3,1,4,21
2,5,1,4,3,106
2,5,1,3,4,79
2,4,5,3,1,63
2,4,5,1,3,53
2,4,3,5,1,44
2,4,3,1,5,28
2,4,1,5,3,162
2,4,1,3,5,96
2,3,5,4,1,45
2,3,5,1,4,52
2,3,4,5,1,53
2,3,4,1,5,52
2,3,1,5,4,186
2,3,1,4,5,172
2,1,5,4,3,36
2,1,5,3,4,42
2,1,4,5,3,24
2,1,4,3,5,26
2,1,3,5,4,30
2,1,3,4,5,40
1,5,4,3,2,40
1,5,4,2,3,35
1,5,3,4,2,36
1,5,3,2,4,17
1,5,2,4,3,70
1,5,2,3,4,50
1,4,5,3,2,52
1,4,5,2,3,48
1,4,3,5,2,51
1,4,3,2,5,24
1,4,2,5,3,70
1,4,2,3,5,45
1,3,5,4,2,35
1,3,5,2,4,28
1,3,4,5,2,37
1,3,4,2,5,35
1,3,2,5,4,95
1,3,2,4,5,102
1,2,5,4,3,34
1,2,5,3,4,35
1,2,4,5,3,29
1,2,4,3,5,27
1,2,3,5,4,28
1,2,3,4,5,30
0,0,0,0,1,1022
0,0,0,1,0,1145
0,0,1,0,0,1198
0,1,0,0,0,881
1,0,0,0,0,895
0,0,0,2,1,143
0,0,0,1,2,196
0,0,2,0,1,64
0,0,2,1,0,48
0,0,1,0,2,93
0,0,1,2,0,56
0,2,0,0,1,70
0,2,0,1,0,114
0,2,1,0,0,89
0,1,0,0,2,80
0,1,0,2,0,87
0,1,2,0,0,51
2,0,0,0,1,117
2,0,0,1,0,104
2,0,1,0,0,547
2,1,0,0,0,72
1,0,0,0,2,72
1,0,0,2,0,74
1,0,2,0,0,302
1,2,0,0,0,83
3,0,0,2,1,75
3,0,2,0,1,32
3,2,0,0,1,41
2,0,0,3,1,62
2,0,3,0,1,37
2,3,0,0,1,35
0,3,2,0,1,15
0,2,3,0,1,14
0,3,0,2,1,59
0,2,0,3,1,50
0,0,3,2,1,20
0,0,2,3,1,17
3,0,0,1,2,90
3,0,2,1,0,13
3,2,0,1,0,51
2,0,0,1,3,46
2,0,3,1,0,15
2,3,0,1,0,28
0,3,0,1,2,62
0,3,2,1,0,18
0,2,3,1,0,21
0,2,0,1,3,54
0,0,3,1,2,46
0,0,2,1,3,16
0,2,1,3,0,17
0,3,1,2,0,26
0,3,1,0,2,16
3,0,1,0,2,47
3,2,1,0,0,57
3,0,1,2,0,15
2,0,1,3,0,39
2,3,1,0,0,83
2,0,1,0,3,74
0,0,1,3,2,19
0,0,1,2,3,15
0,2,1,0,3,16
0,1,3,0,2,15
0,1,0,3,2,45
0,1,3,2,0,17
0,1,2,0,3,8
3,1,0,0,2,38
3,1,0,2,0,45
3,1,2,0,0,32
2,1,0,0,3,17
2,1,0,3,0,31
0,1,0,2,3,55
0,1,2,3,0,9
2,1,3,0,0,31
1,0,0,3,2,35
1,0,2,0,3,49
1,0,3,0,2,41
1,0,3,2,0,21
1,3,0,0,2,31
1,3,0,2,0,22
1,3,2,0,0,79
1,0,0,2,3,44
1,0,2,3,0,30
1,2,0,0,3,26
1,2,0,3,0,19
1,2,3,0,0,27
